data_extracao;descricao;estado;complemento;implantacao;logradouro_nome;num_inicial;num_final;defronte;cruzamento_nome;lado;fluxo;local_de_instal;latitude;longitude
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;61 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;275;299.0;NÃO;AV BISPO JOAO SCALABRINI;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;80 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;423;483.0;NÃO;R CAPITAO SALUSTIANO DE VARGAS;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;114 METROS - INTERIOR VERMELHO E BORDO BRANCO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;500;590.0;NÃO;R MADRE BARBARA MAIX;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;16 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;577;577.0;NÃO;R CAPITAO SALUSTIANO DE VARGAS;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;14 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;490;490.0;NÃO;R MADRE BARBARA MAIX;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;14 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;500;500.0;NÃO;R MADRE BARBARA MAIX;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;18 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;741;741.0;NÃO;R NILTON WALDEMAR STOCK;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;18 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;705;705.0;NÃO;R JOSE HENRIQUE MARIANTE;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;220 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;886;1064.0;NÃO;R NILTON WALDEMAR STOCK;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de ciclofaixa ao longo da via;INSTALADO;160 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;1084;1226.0;NÃO;R JORNAL O POVO;PAR;DECRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.052;marcacao de cruzamento rodocicloviario;INSTALADO;08 METROS - VERMELHA E BORDO BRANCO TRACEJADO;2013-01-25;R DONA ADDA MASCARENHAS DE MORAES;1226;1226.0;SIM;AV KARL IWERS;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.063;marcacao de ciclofaixa ao longo da via;INSTALADO;- 240MX02M;2022-04-14;AV IPIRANGA;3364;3420.0;SIM;AV CEL LUCAS DE OLIVEIRA;PAR;DECRESCENTE;CANTEIRO CENTRAL ;-30.048948174838845;-51.19586326181889
2025-05-01 01:32:36.073;marcacao de cruzamento rodocicloviario;INSTALADO;- 10M JUNTO A CICLO FAIXA.;2013-09-07;AV JUSCELINO KUBITSCHEK DE OLIVEIRA;440;440.0;SIM;R EGYDIO PEDRO FLACH;IMPAR;CRESCENTE;LEITO DA VIA     ;;
2025-05-01 01:32:36.069;marcacao de cruzamento rodocicloviario;INSTALADO;- 7 MX2,40M (CRUZAMENTO ANTERIOR);2015-11-22;AV ERICO VERISSIMO;1450;1450.0;SIM;R SALDANHA MARINHO;IMPAR;CRESCENTE;LEITO DA VIA     ;-30.05820790053355;-51.218030545860536
